Time (ms),Membrane Potential (mV)
28.035043804755947,-59.58717647270113
28.28535669586984,-58.938993876719955
28.53566958698373,-58.22751100273361
28.785982478097623,-57.44029979088127
29.036295369211516,-56.561019390269955
29.28660826032541,-55.56787373861784
29.5369211514393,-54.43127124313857
29.787234042553195,-53.11017278176647
30.037546933667084,-51.54620438257204
30.287859824780977,-49.65379993118216
30.53817271589487,-47.302946748194586
30.788485607008763,-44.28734821751456
31.038798498122656,-40.26183328566314
31.28911138923655,-34.60938063195289
31.53942428035044,-26.129834589088208
31.78973717146433,-12.214583476483888
32.040050062578224,30.0
32.29036295369212,-65.0
32.54067584480601,-64.88592767062622
32.7909887359199,-64.73653064099217
33.041301627033796,-64.55430628021196
33.29161451814769,-64.34134779797478
33.541927409261575,-64.09932397716814
33.79224030037547,-63.829466171997545
34.04255319148936,-63.53255726650337
34.292866082603254,-63.208917938794684
34.54317897371715,-62.85838595271508
34.79349186483104,-62.48028421923141
35.04380475594493,-62.07337295431207
35.294117647058826,-61.63578029932267
35.54443053817272,-61.16490409130681
35.79474342928661,-60.65727479025073
36.045056320400505,-60.108365420203214
36.2953692115144,-59.51232798422306
36.545682102628284,-58.861625867270575
36.79599499374218,-58.14651602468457
37.04630788485607,-57.35430939031056
37.29662077596996,-56.46829597981104
37.546933667083856,-55.46614976950827
37.79724655819775,-54.31750302436329
38.04755944931164,-52.98015142145564
38.297872340425535,-51.39391831363005
38.54818523153943,-49.47034613032459
38.79849812265332,-47.07457879571141
39.048811013767214,-43.99176984814807
39.29912390488111,-39.860654855704695
39.54943679599499,-34.03139822783768
39.799749687108886,-25.22976132696271
40.05006257822278,-10.655979240277318
40.30037546933667,30.0
40.550688360450565,-65.0
40.80100125156446,-64.8968012141421
41.05131414267835,-64.75748583732951
41.30162703379224,-64.58464281694825
41.55193992490614,-64.38046752051831
41.80225281602003,-64.14673764484466
42.05256570713392,-63.884798024386036
42.30287859824781,-63.59554882919112
42.5531914893617,-63.279432333265525
42.803504380475594,-62.93641388164233
43.05381727158949,-62.56595279906308
43.30413016270338,-62.16695868497111
43.55444305381727,-61.73772772783156
43.804755944931166,-61.27585219214091
44.05506883604506,-60.7780938320428
44.30538172715895,-60.24020825128547
44.555694618272845,-59.656701473581116
44.80600750938674,-59.0204910626906
45.05632040050063,-58.322430089257985
45.30663329161452,-57.55062970157841
